x_accel, y_accel, z_accel
732, 864, -96
732, 864, -96
732, 864, -96
868, 424, -292
868, 424, -292
868, 424, -292
888, 236, -532
888, 236, -532
888, 236, -532
1156, 52, -684
1156, 52, -684
1156, 52, -684
1508, 16, -764
1508, 16, -764
1508, 16, -764
1300, 120, -272
1300, 120, -272
1300, 120, -272
1540, 164, -268
1540, 164, -268
1540, 164, -268
1476, 260, -761476, 260, -761476, 260, -761432, 496, 5441432, 496, 5441432, 496, 5441304, 588, 8721304, 588, 8721304, 588, 872948, 356, 564948, 356, 564948, 356, 564572, 348, 568572, 348, 568572, 348, 568596, 156, -28596, 156, -28596, 156, -281028, 48, -8481028, 48, -848
960, -8, -9681044, 484, -132
